act,section,description
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",197(1)(d),"makes or publishes false or misleading information, jeopardising the sovereignty, unity and integrity or security of India, shall be punished with imprisonment which may extend to three years, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",197(2),"Whoever commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",198," Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending to cause, or knowing it to be likely that he will by such disobedience, cause injury to any person, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both. A, being an officer directed by law to take property in execution, in order to satisfy a decree pronounced in Z’s favour by a Court, knowingly disobeys that direction of law, with the knowledge that he is likely thereby to cause injury to Z. A has committed the offence defined in this section."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",199,"Whoever, being a public servant,—"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",199(a),knowingly disobeys any direction of the law which prohibits him from requiring the attendance at any place of any person for the purpose of investigation into an offence or any other matter; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",199(b),"knowingly disobeys, to the prejudice of any person, any other direction of the law regulating the manner in which he shall conduct such investigation; or"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",199(c),"fails to record any information given to him under sub-section (1) of section 173 of the Bharatiya Nagarik Suraksha Sanhita, 2023 in relation to cognizable offence punishable under section 64, section 65, section 66, section 67, section 68, section 70, section 71, section 74, section 76, section 77, section 79, section 124, section 143 or section 144, shall be punished with rigorous imprisonment for a term which shall not be less than six months but which may extend to two years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2,"In this Sanhita, unless the context otherwise requires,––"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(1),“act” denotes as well a series of acts as a single act;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(10),"“gender”.—The pronoun “he” and its derivatives are used of any person, whether male, female or transgender. "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(11),“good faith”.—Nothing is said to be done or believed in “good faith” which is done or believed without due care and attention; 
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(12),“Government” means the Central Government or a State Government;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(13),"“harbour” includes supplying a person with shelter, food, drink, money,clothes, arms, ammunition or means of conveyance, or the assisting a person by any means, whether of the same kind as those enumerated in this clause or not, to evade apprehension;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(14),"“injury” means any harm whatever illegally caused to any person, in body, mind, reputation or property;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(15),"“illegal” and “legally bound to do”.—The word “illegal” is applicable to everything which is an offence or which is prohibited by law, or which furnishes ground for a civil action; and a person is said to be “legally bound to do” whatever it is illegal in him to omit; "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(16),"“Judge” means a person who is officially designated as a Judge and includes a person,–"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(16)(i),"who is empowered by law to give, in any legal proceeding, civil or criminal, a definitive judgment, or a judgment which, if not appealed against, would be definitive, or a judgment which, if confirmed by some other authority, would be definitive; or "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(16)(ii),"who is one of a body or persons, which body of persons is empowered by law to give such a judgment"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(17),"“life” means the life of a human being, unless the contrary appears from the context; "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(18),“local law” means a law applicable only to a particular part of India; 
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(19),“man” means male human being of any age; 
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(2),"“animal” means any living creature, other than a human being;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(20)," “month” and “year”.––Wherever the word “month” or the word “year” is used, it is to be understood that the month or the year is to be reckoned according to the Gregorian calendar;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(21),"“movable property” includes property of every description, except land and things attached to the earth or permanently fastened to anything which is attached to the earth;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",2(22)," “number”.—Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number;"
